# %ECSV 0.9
# ---
# datatype:
# - {name: RA, unit: h, datatype: float64}
# - {name: DE, unit: deg, datatype: float64}
# - {name: Name, datatype: string, description: Source Name (1)}
# - {name: class, datatype: string}
# schema: astropy-2.0
RA DE Name class
0.245 -25.0 1758-258 lmxb
0.5716666666666667 -20.0 1758-205 lmxb
1.0366666666666666 -24.0 1803-245 lmxb
1.05 -24.0 J1806-246 lmxb
0.7256666666666667 -36.0 J1808.4-3658 lmxb
1.075 -26.0 J1810.8-2609 lmxb
0.985 -17.0 1811-171 lmxb
0.7 -12.0 1812-12 lmxb
0.5566666666666666 -14.0 1813-140 lmxb
0.9913333333333334 -25.0 J1819.3-2525 lmxb
1.4433333333333331 -30.0 1820-303 lmxb
1.6133333333333333 -37.0 1822-371 lmxb
1.2016666666666667 -0.0 1822-000 lmxb
1.4166666666666667 -23.0 1826-238 lmxb
1.9 -32.0 1832-330 lmxb
2.2583333333333333 5.0 1837+049 lmxb
1.9183333333333332 -3.0 1846-031 lmxb
1.8483333333333334 -8.0 1850-087 lmxb
2.5166666666666666 5.0 J1856+053 lmxb
2.626333333333333 22.0 J1859+226 lmxb
0.7166666666666667 0.0 1905+000 lmxb
0.6333333333333333 0.0 1908+005 lmxb
0.7833333333333333 10.0 1915+105 lmxb
1.4 -5.0 1916-053 lmxb
0.95 14.0 1918+146 lmxb
2.033333333333333 -3.0 1940-04 lmxb
2.3666666666666667 11.0 1957+115 lmxb
0.8933333333333333 25.0 2000+251 lmxb
1.03 38.0 J2012+381 lmxb
0.8633333333333333 33.0 2023+338 lmxb
1.009 -5.0 J2123-058 lmxb
1.9383333333333332 12.0 2127+119 lmxb
1.47 47.0 2129+470 lmxb
2.1533333333333333 38.0 2142+380 lmxb
1.2349999999999999 62.0 2318+620 lmxb
2.0016666666666665 -73.0 J0032.9-7348 hmxb
2.1266666666666665 -73.0 J0049-732 hmxb
1.675 -72.0 J0049-729 hmxb
1.835 -72.0 0050-727 hmxb
2.4116666666666666 -73.0 J0050.7-7316 hmxb
2.5966666666666667 -72.0 J0051-722 hmxb
2.5833333333333335 -72.0 J0051.8-7231 hmxb
2.5566666666666666 -73.0 J0051.9-7311 hmxb
1.965 -73.0 J0052.1-7319 hmxb
2.6333333333333333 -71.0 J0052.9-7158 hmxb
2.356666666666667 -73.0 0053-739 hmxb
2.5716666666666668 60.0 0053+604 hmxb
2.683333333333333 -72.0 J0053.8-7226 hmxb
2.4 -72.0 J0054-720 hmxb
2.736166666666667 -72.0 J0055-724 hmxb
2.7066666666666666 -72.0 J0058-72.0 hmxb
2.1449999999999996 -72.0 J0058.2-7231 hmxb
2.1550000000000002 -71.0 J0059.2-7138 hmxb
0.051666666666666666 -72.0 J0101.0-7206 hmxb
0.33166666666666667 -72.0 J0103-722 hmxb
0.40166666666666667 -74.0 0103-762 hmxb
0.31499999999999995 -72.0 J0105-722 hmxb
0.45166666666666666 -72.0 J0106.2-7205 hmxb
0.5066666666666666 -73.0 J0111.2-7317 hmxb
0.6466666666666666 65.0 0114+650 hmxb
1.1316666666666668 63.0 0115+634 hmxb
0.6533333333333333 -73.0 0115-737 hmxb
1.2566666666666668 -73.0 J0117.6-7330 hmxb
1.9766666666666666 61.0 J0146.9+6121 hmxb
1.8599999999999999 61.0 0236+610 hmxb
2.131666666666667 53.0 0331+530 hmxb
2.216666666666667 31.0 0352+309 hmxb
1.4 55.0 J0421+560 hmxb
2.3316666666666666 44.0 J0440.9+4431 hmxb
0.43166666666666664 -70.0 J0501.6-7034 hmxb
0.9266666666666666 -66.0 J0502.9-6626 hmxb
1.0966666666666667 -67.0 J0512.6-6717 hmxb
0.535 -69.0 J0516.0-6916 hmxb
1.1716666666666666 -69.0 J0520.5-6932 hmxb
1.32 37.0 0521+373 hmxb
1.7733333333333334 -65.0 J0529.8-6556 hmxb
1.25 -66.0 053109-6609.2 hmxb
1.6349999999999998 -65.0 J0531.5-6518 hmxb
1.8866666666666667 -66.0 0532-664 hmxb
1.4883333333333333 -65.0 J0532.4-6535 hmxb
1.6099999999999999 -65.0 J0532.5-6551 hmxb
1.2650000000000001 -67.0 J0535.0-6700 hmxb
1.8416666666666666 -66.0 0535-668 hmxb
2.1766666666666667 26.0 0535+262 hmxb
2.0633333333333335 -65.0 J0535.8-6530 hmxb
2.2066666666666666 -64.0 0538-641 hmxb
1.945 -69.0 0540-697 hmxb
1.7366666666666666 -69.0 J0541.4-6936 hmxb
