Id,Name,Type,RA,DE,GLON,GLAT,Opt,r_Opt,Vmag,B-V,U-B,E(B-V),r_Vmag,Fx,Range,r_Fx,Porb,Porb2,Ppulse,r_Ppulse,Cat,SpType,class
62,4U 1730-220,T,263.4875,-22.03527777777778,4.5,5.9,,,,,,,,10.0,,230,,,,,U,,lmxb
63,KS 1731-260,BT,263.5541666666667,-26.085833333333333,1.1,3.6,,"51,182",,,,3.2,1230,10.0,,1230,,,,,"K,X,Gr,R",,lmxb
64,1EXO 1732-304,GB,263.9483333333333,-30.48222222222222,357.6,0.9,Ter 1,797,,,,1.5,"10,988,1405",10.0,,"999,1166,1366",,,,,"Ha,B,Gr,H,R,Exo",,lmxb
65,KS 1732-273,TU,264.0083333333333,-27.425833333333333,0.16,2.59,,182,,,,,,5.0,,"612,792",,,,,"K,G",,lmxb
66,GRS 1734-292,,264.35416666666663,-29.18,358.84,1.4,,182,,,,,,3.4,,1019,,,,,Gr,,lmxb
67,SLX 1735-269,B,264.56666666666666,-27.004444444444445,0.78,2.4,,,,,,,,10.0,,1166,,,,,"SL,X,R,AS,B",,lmxb
68,4U 1735-444,BA,264.74291666666664,-44.45,346.1,-7.0,V926 Sco,633,17.5,0.2,-0.8,0.15,"492,633,1348",160.0,,1399,4.65,,,1319,"U,M,A,H,S,B,X",,lmxb
69,2U 1735-28,T,264.64166666666665,-28.483333333333334,359.6,1.56,,,,,,,,0.4,,"230,1166",,,,,"U,M",,lmxb
70,GRS 1736-297,,264.88749999999993,-29.723888888888887,358.63,0.7,,182,,,,,,2.0,,725,,,,,Gr,,lmxb
71,1SAX 1737-31,T,264.9833333333333,-30.983333333333334,357.3,0.58,,,,,,,,26.0,,822,,,,,"Gr,C,X,AS,B",,lmxb
72,SLX 1737-282,,265.2375,-28.310000000000002,0.01,1.2,,,,,,,,3.0,,1166,,,,,SL,,lmxb
73,1RX 1739-278,T,265.65416666666664,-27.783055555555556,0.66,1.17,,831,23.2,,,4.0,"459,831",860.0,(2-60keV),1258,,,,,"Gr,K,X,R",,lmxb
74,KS 1739-304,,265.6833333333333,-30.514166666666668,358.33,-0.3,,,,,,,,9.0,,611,,,,,K,,lmxb
75,GC X-4,T(?),265.9458333333333,-29.433333333333334,359.36,0.1,,,,,,,,30.0,,262,,,,,,,lmxb
76,E 1740.7-2942,,265.9779166666666,-29.74527777777778,359.12,-0.1,,"734,882,1  169",,,,,,4.0,,"1166,1168,1233",,,,,"E,X,C,R,AS,Gr",,lmxb
77,GS 1741.2-2859,,266.10583333333335,-29.0125,359.8,0.18,,,,,,,,1.5,,909,,,,,G,,lmxb
78,KS 1741-293,TB,266.20416666666665,-29.351666666666667,359.5,-0.07,,182,,,,,,5.0,,612,,,,,"K,B,X",,lmxb
79,1H 1741-322,TU,266.2583333333333,-32.227222222222224,357.1,-1.6,,,,,,,,2.0,,"103,1168,1448",,,,,H,,lmxb
80,1SAX 1741.9-2853,TB,266.25416666666666,-28.901666666666664,356.0,0.13,,182,,,,,,7.0,,1233,,,,,"Gr,B",,lmxb
81,1EXO 1742-326,,266.37083333333334,-32.69416666666666,356.8,-1.9,,,,,,,,2.0,,"1168,1400",,,,,Exo,,lmxb
82,E 1742.2-2857,,266.36083333333335,-28.983333333333334,359.9,0.01,,1403,,,,,,0.1,(0.9-4.0keV),1403,,,,,E,,lmxb
83,3A 1742-294,B(T?),266.40416666666664,-29.45,359.56,-0.26,,,,,,,,45.0,,262,,,,,"A,S,AS,Gr,E,K",,lmxb
84,1A 1742-289,TB(?),266.40416666666664,-29.01861111111111,359.9,0.0,,1403,,,,,,9.0,,103,,,,,A,,lmxb
85,E 1742.5-2859,,266.4195833333333,-29.003055555555555,359.95,-0.05,,1403,,,,,,1.0,,"1166,1233,1403",,,,,"E,R",,lmxb
86,E 1742.5-2845,,266.42875000000004,-28.781388888888888,0.14,0.06,,1403,,,,,,0.15,(0.9-4.0 keV),1403,,,,,E,,lmxb
87,E 1742.7-2902,,266.47041666666667,-29.05611111111111,359.9,-0.11,,1403,,,,,,0.2,(0.9-4.0 keV),1403,,,,,E,,lmxb
88,E 1742.8-2853,,266.5,-28.91361111111111,0.06,-0.063,,1403,,,,,,0.2,(0.9-4.0 keV),1403,,,,,E,,lmxb
89,E 1742.9-2852,,266.5204166666667,-28.886944444444445,0.09,-0.06,,1403,,,,,,0.2,(0.9-4.0 keV),1403,,,,,E,,lmxb
90,3A 1742-294,B,266.52583333333337,-29.51833333333333,359.56,-0.39,,634,,,,,,60.0,,"1166,1233,1399",,,,,"A,Gr",,lmxb
91,E 1742.9-2849,,266.54041666666666,-28.851111111111113,0.13,-0.0626,,1403,,,,,,0.2,(0.9-4.0 keV),1403,,,,,E,,lmxb
92,E 1743.1-2843,,266.58,-28.735277777777778,0.25,-0.03,,1403,,,,45.0,1233,0.5,,"1166,1233,1403",,,,,"E,AS,B",,lmxb
93,E 1743.1-2852,,266.58124999999995,-28.89527777777778,0.11,-0.11,,1403,,,,,,0.2,(0.9-4.0 keV),1403,,,,,E,,lmxb
94,1A 1743-288,TB,266.6958333333333,-28.89472222222222,0.21,-0.25,,1403,,,,,,1.0,,"262,1064,1166,1403",,,,,"A,B,X",,lmxb
95,SLX 1744-299,,266.8570833333334,-29.99527777777778,359.3,-0.89,,,,,,7.5,1168,6.0,,1168,,,,,"SL,B",,lmxb
96,GRO J1744-28,TBP,266.1379166666667,-28.74138888888889,0.04,0.31,,19,,,,,,4700.0,(8-20 keV),1120,284.02,,0.467,367,"C,K,AS,X,Gr",,lmxb
97,SLX 1744-300,B,266.8579166666667,-30.041944444444447,359.26,-0.9,,,,,,7.5,1168,4.0,,1168,,,,,"SL,B",,lmxb
98,1M 1744-265,BA,266.98333333333335,-26.56361111111111,2.3,0.8,,1072,,,,3.7,527,400.0,,1399,,,,,"U,M,A,H,S,G,X",,lmxb
99,1A 1744-361,T,267.05583333333334,-36.13138888888889,354.1,-4.2,,,,,,,,25.0,,103,,,,,A,,lmxb
100,AX J1745.6-2901,TB,266.40000000000003,-29.02611111111111,359.9,-0.035,,,,,,,,0.4,(3-10 keV),788,8.4,,,788,"AS,B",,lmxb
101,EXO 1745-248,TGB,267.23333333333335,-24.894444444444446,3.8,1.5,Ter 5,,,,,2.1,1405,0.1,,"525,1400",,,,,"Ha,Exo",,lmxb
102,4U 1745-203,GT,267.22291666666666,-20.36722222222222,7.7,3.8,NGC 6440,"383,447,811",,,,1.1,"954,1405",0.1,,"345,383",,,,,"U,M",,lmxb
103,SLX 1746-331,U,267.4608333333333,-33.198611111111106,356.9,-3.1,,931,,,,,,27.0,,1168,,,,,"SL,R",,lmxb
104,E 1746.7-3224,,267.51458333333335,-32.42861111111111,357.5,-2.6,,,,,,,,0.1,,"526,1168",,,,,E,,lmxb
105,4U 1746-370,GBA,267.55291666666665,-37.05222222222222,353.5,-5.0,NGC 6441,475,,,,0.5,1255,32.0,,"999,1366",5.7,,,1117,"U,M,A,H,S,X,B",,lmxb
106,EXO 1747-214,TB,267.6070833333333,-21.4225,19.8,22.73,,,,,,,,70.0,,"996,1400",,,,,Exo,,lmxb
107,1XTE 1747-313,G,267.68958333333336,-31.292222222222225,358.6,-2.2,Ter 6,182,,,,1.5,1405,1.5,,"1019,1052",12.36,,,620,"R,Gr,B,X",,lmxb
108,XTE J1748-288,T,267.02108333333337,-28.47383333333333,0.7,-0.21,,,,,,,,640.0,,1220,,,,,"X,B,I",,lmxb
109,SAX J1748.9-2021,TGB,267.22249999999997,-20.361944444444447,7.73,3.8,*V2(?),1370,,,,1.0,986,30.0,,616,,,,,"B,X,R(?)",,lmxb
110,1A 1749-285,T,268.06666666666666,-28.50611111111111,1.1,-1.0,,,,,,,,60.0,,1064,,,,,"SL,A",,lmxb
111,SAX J1750.8-2900,TB,267.6,-29.038333333333334,0.45,-0.94,,,,,,,,130.0,,948,,,,,"B,X",,lmxb
112,SAX J1752.3-3138,B,268.1,-31.628333333333334,358.4,-2.6,,,,,,,,740.0,(2-26 keV),60,,,,,B,,lmxb
113,4U 1755-338,DU,269.6666666666667,-33.8075,357.2,-4.9,V4134 Sgr,845,18.5,0.7,,0.5,"845,954",100.0,,1399,4.46,,,"845,1417","U,M,A,H,S,R,G",,lmxb
114,XTE J1755-324,T,268.8691666666667,-32.4775,358.0,-3.6,,,,,,,,180.0,(2-12 keV),1078,,,,,"X,Gr",,lmxb
115,1M 1758-250,Z,270.28416666666664,-25.079166666666666,5.1,-1.0,,"952,1072",,,,7.5,527,1250.0,,1399,,,,,"U,M,A,H,S",,lmxb
116,1AX 1758-258,U,270.30291666666665,-25.740555555555556,4.5,-1.4,,"882,1165",,,,3.0,1165,20.0,,1238,,,,,"Gr,X,C,R,AS",,lmxb
117,1M 1758-205,A,270.38458333333335,-20.528888888888886,9.1,1.2,,"447,952,1072",,,,3.7,527,700.0,,1399,,,,,"U,M,A,H,S",,lmxb
118,1SAS-3 1803-245,T,271.7091666666667,-24.5875,6.1,-1.9,,634,,,,,,2.0,,230,,,,,S,,lmxb
119,XTE J1806-246,TB(?)A,271.71250000000003,-24.584999999999997,6.14,-1.9,,,,,,,,440.0,(2-12 keV),826,,,,,X,,lmxb
