source_id,ra,dec,phot_g_mean_mag,g_rp,qf,F6,F8,F10,mem_prob,Class
604625910880696960,133.4096666480859,10.983092060097,21.8221492767334,3.074256896972656,0,0.027777777777777776,0.022234697426344523,0.005560691843953074,,0
604626082680673920,133.44596347435586,11.008142612622724,21.120874404907227,1.044647216796875,1,0.5907577603459288,0.4466888297132259,0.49531960806474534,,0
604626117039126784,133.3992297425306,10.980870666648114,19.757692337036133,0.911151885986328,1,0.044444444444444446,0.022235120909077227,0.027808197229002882,0.0,0
604626121334201984,133.39123481371493,10.98763235015898,15.138967514038086,0.5518684387207031,1,0.03333333333333333,0.0500078622503654,0.022229091715289473,9.689957985175117e-182,0
604626151398869248,133.40903266886656,11.001376409774345,18.443552017211914,0.6462192535400391,1,0.03333333333333333,0.06671135226670219,0.03890110224689056,7.703429386291267e-289,0
604626151400065024,133.4091799043752,10.998577118426082,20.877065658569336,1.1253700256347656,1,0.027777777777777776,0.03889051213967635,0.022226023712489298,0.0,0
604626220118347264,133.39888210091775,11.006661300912173,18.210525512695312,0.92449951171875,0,0.027777777777777776,0.03333592586494011,0.022240216668622113,0.0,0
604626224413347968,133.39353609655086,11.004872828576493,19.284881591796875,1.0964813232421875,1,0.011111111111111112,0.06191765829270529,0.03340125642803763,0.0,0
604626258773154688,133.41823715261344,10.99834205025517,19.81891441345215,1.2308578491210938,0,0.03333333333333333,0.05560067249548152,0.03890110224689056,0.0,0
604626293132818432,133.43130527712827,11.020590281924608,19.789113998413086,0.471231460571289,1,0.03333333333333333,0.011117379990576385,0.016680594165438063,0.0,0
604626293132819072,133.43111107391294,11.01567641005565,17.56036376953125,1.0668907165527344,1,0.03333333333333333,0.0500078622503654,0.027786501604921833,0.0,0
604626323197563008,133.40350256136043,11.009986323576891,18.626163482666016,1.0497512817382812,1,0.5907577603459288,0.44365802824536316,0.49531960806474534,0.0,0
604626327492561152,133.40697107148526,11.008995757496516,18.23378562927246,0.79736328125,1,0.03333333333333333,0.022235120909077227,0.01668491833740173,0.0,0
