RAdeg,DEdeg,F169M,F169M_sat,e_F169M,P_F6,P_F10,class
308.7755,28.47669,21.52,,0.21,,,
308.7733,28.43937,19.7,,0.1,,,
308.9316,28.54164,23.16,,0.36,,,
308.9456,28.46448,19.25,,0.08,,,
308.8493,28.29063,21.48,,0.23,,,
308.8261,28.26834,22.88,,0.38,,,
308.6707,28.57521,21.89,,0.3,,,
308.7259,28.56473,22.57,,0.39,,,
308.7072,28.52458,22.91,,0.34,,,
308.8505,28.6352,23.07,,0.36,,,
308.9026,28.60551,22.87,,0.33,,,
308.7808,28.49084,23.13,,0.38,,,
308.5962,28.32867,21.96,,0.28,,,
308.7861,28.402,14.4,,0.01,,,
308.7957,28.34455,21.95,,0.29,,,
308.8832,28.33451,21.77,,0.27,,,
308.8304,28.2703,22.67,,0.35,,,
308.9987,28.3605,23.3,,0.4,,,
308.6136,28.52451,23.31,,0.38,,,
308.7052,28.52667,22.5,,0.32,,,
308.7981,28.39989,22.89,,0.39,,,
308.8017,28.26008,22.8,,0.35,,,
308.9018,28.26876,22.07,,0.25,,,
308.6792,28.50089,23.48,,0.38,,,
308.8499,28.45304,23.52,,0.39,,,
308.5284,28.50964,19.4,,0.19,0.609,0.017,F
308.7074,28.25411,18.28,,0.06,,,
308.7001,28.52449,22.98,,0.39,,,
308.6603,28.44678,19.88,,0.08,,,
308.7035,28.47386,19.66,,0.09,,,
