RAdeg,DEdeg,F148W,e_F148W,P_F6,P_F10,class
114.5929,21.47349,23.04,0.28,,,
114.5353,21.49344,22.23,0.22,0.942,0.976,M
114.723,21.48872,22.87,0.33,,,
114.4641,21.54385,22.01,0.25,0.975,0.987,M
114.5792,21.57977,22.28,0.24,,,
114.38,21.64194,23.09,0.36,,,
114.8075,21.59133,23.35,0.38,,,
114.5949,21.63746,23.4,0.38,,,
114.3985,21.67047,23.72,0.35,,,
114.3814,21.67499,22.01,0.29,,,
114.532,21.66054,23.01,0.28,,,
114.4403,21.72233,23.4,0.38,,,
114.4559,21.72734,23.9,0.39,,,
114.4686,21.77963,22.04,0.21,,,
114.5765,21.77734,23.84,0.36,,,
114.7091,21.77067,23.04,0.3,,,
114.5275,21.80297,22.1,0.23,,,
114.723,21.80389,22.5,0.24,,,
114.6323,21.44952,23.24,0.37,0.976,0.99,M
114.5888,21.48983,21.98,0.2,,,
114.6571,21.49532,22.69,0.33,,,
114.6577,21.49564,22.68,0.29,,,
114.5442,21.54258,20.03,0.11,,,
114.4643,21.56592,22.96,0.39,,,
114.5122,21.58414,22.74,0.3,,,
114.4431,21.60071,22.52,0.27,,,
114.5469,21.59525,22.8,0.3,,,
114.8036,21.58579,23.06,0.32,,,
114.7378,21.68234,22.07,0.21,,,
114.6523,21.77762,23.45,0.4,,,
114.4385,21.51961,23.01,0.34,,,
114.4801,21.52234,23.12,0.35,,,
114.6182,21.41523,22.24,0.25,,,
114.5827,21.5984,22.17,0.22,,,
114.5455,21.73659,22.24,0.21,,,
114.5464,21.73667,22.93,0.34,,,
114.6515,21.8269,22.23,0.28,,,
114.6586,21.49614,22.52,0.33,,,
114.551,21.82176,22.74,0.31,,,
114.4955,21.46276,22.54,0.3,,,
114.643,21.44842,22.94,0.37,,,
114.63,21.6504,22.64,0.27,,,
114.5781,21.59198,22.36,0.26,,,
114.4939,21.62801,22.07,0.22,,,
114.7362,21.74807,22.54,0.26,,,
114.6587,21.49561,22.26,0.28,,,
