Id,Name,RA,DE,B-V,Cat,class,E(B-V),Fx,GLAT,GLON,Opt,Porb,Porb2,Ppulse,Range,SpType,Type,U-B,Vmag,r_Fx,r_Opt,r_Ppulse,r_Vmag,Papers
35,4U 1636-536,250.23125,-53.7513888888889,0.7,"U,M,A,H,S,X,Exo",lmxb,0.8,220,-4.8,332.9,V801 Ara,3.8,,,,,BA,-0.7,17.5,1399,633,1354,730861,82
36,1M 1642-455,251.44875,-45.6111111111111,,"U,M,A,H,S,X",lmxb,12,500,-0.1,339.6,,,,,,,Z,,,1399,8,,527,
37,GRO J1655-40,253.500570833333,-39.8458055555556,1,"C,AS,X,R,Gr",lmxb,1.1,1600,2.5,345,*1,62.88,,,(2-12keV),,TD,,14.2,1076,"30,1324","30,1323",30593,
38,1M 1656+354,254.4575,35.3425,-0.2,"U,M,A,H,G,X,B,AS",lmxb,0.05,15,37.5,58.2,HZ Her,40.8,,1.24,,,P,-0.9,13,"872,1448",326447,297943,100483,"30, 46, 85"
39,3A 1658-298,255.52625,-29.9458333333333,0.45,"A,H,X",lmxb,0.3,5,7.3,353.8,V2134 Oph,7.11,,,,,TBD,-0.4,18.3,103,330,228,330954,16
40,4U 1659-487,255.70625,-48.7897222222222,0.8,"U,M,A,H,K,B,X,C",lmxb,1.1,1.5,-4.3,338.9,V821 Ara,14.83,,,,,TU,-0.1,15.5,603912,122330,122582,"252,800,1348",1
41,1M 1702-363,256.435416666667,-36.4227777777778,1.5,"U,M,A,H,S,X",lmxb,1.3,825,2.7,349.1,*6,21.85,22.5,,,,Z,,18.6,1399,"234,1026","55,1383,1384","234,1026",
42,4U 1702-429,256.56375,-43.0361111111111,,"U,M,S,X",lmxb,2.5,45,-1.3,343.9,,,,,,,BA,,,634970,527,,527,
43,2A 1704+241,256.644166666667,23.9716666666667,1.3,"A,H,R",lmxb,0.3,0.5,33,45.2,HD 154791,,,,,,,2.1,7.8,103,403,,403,
44,3A 1705-250,257.060833333333,-25.0913888888889,0.6,"A,H",lmxb,0.5,2,9.1,358.2,V2107 Oph,12.5,,,,,T,,15.9,103,462,"366,1077",462,
45,4U 1705-440,257.227916666667,-44.1005555555556,,"U,M,A,S",lmxb,2,10,-2.3,343.8,,,,,,,BA,,,"722,1399",1072,,722,
46,4U 1708-40,258.095833333333,-40.8433333333333,,"U,M,A,H",lmxb,,32,-0.9,346.3,,,,,,,,,,611,,,,
47,XTE J1709-267,257.375833333333,-26.6575,,"X,R,B",lmxb,,150,7.9,357.5,,,,,,,TB,,,825,,,,
48,XTE J1710-281,257.55125,-28.1316666666667,,"X,R",lmxb,,2,6.9,356.4,,,,,,,TB(?),,,816,,,,
49,2S 1711-339,258.58,-34.0494444444444,,"H,S,R",lmxb,,16,2.7,352.1,,,,,,,T,,,103,453,,,
50,SAX J1712.6-3739,258.141666666667,-37.6433333333333,,B,lmxb,,34,0.94,348.9,,,,,(2-9keV),,TB,,,619,,,,
51,3A 1715-321,259.6975,-32.1777777777778,,"M,A,H,S",lmxb,,28,3.1,354.1,,,,,,,B,,,"812,814,1399",1072,,,
52,GRS 1716-249,259.90375,-25.0175,0.9,"Gr,K,C,AS",lmxb,0.9,1500,7.6,359.8,V2293 Oph,14.7,,,(20-100keV),,T,,16.65,501,305838,838,305,
53,1RXS J171824.2-402934,259.600541666667,-40.4917777777778,,"R,B",lmxb,,1400,-1.6,347.3,,,,,,,B,,,662,931,,,
54,XTE J1723-376,260.908333333333,-37.6616666666667,,"X,AS",lmxb,,70,-0.86,350.2,,,,,,,TB,,,821,,,,
55,KS 1724-356,261.9125,-35.7344444444444,,K,lmxb,,32,-0.5,352.2,,,,,,,,,,611,,,,
56,E 1724-307,261.888333333333,-30.8019444444444,,"E,X,AS,B,R",lmxb,1.4,15,2.3,356.3,Ter 2,,,,,,GBA,,,"999,1366",475,,10803,
57,4U 1728-337,262.989166666667,-33.8347222222222,,"U,M,A,H,S,C,X",lmxb,3.5,150,-0.2,354.3,,,,,,,BA,,,"1366,1399",469,,527,
58,1M 1728-169,262.934166666667,-16.9616666666667,0.3,"U,M,A,H,S",lmxb,0.3,300,9,8.5,V2216 Oph,4.2,,,,,A,-0.7,16.8,1399,328447,"529,1123","954,1123",
59,1M 1728-247,263.009166666667,-24.7455555555556,,"U,M,A,H,S",lmxb,1.7,100,4.8,1.9,V2116 Oph,340,,114,,,P,,19,1399,328,276943,288289,
60,KS 1730-312,263.383333333333,-31.2166666666667,,"K,Gr",lmxb,,900,1.6,356.3,,,,,,,T,,,94,,,,
61,MXB 1730-335,263.350416666667,-33.3877777777778,,"S,X,AS,Exo",lmxb,3,0.1,-0.2,354.8,Lil 1,,,,,,GBT,,,"465,1215",475767,,10803,
62,4U 1730-220,263.4875,-22.0352777777778,,U,lmxb,,10,5.9,4.5,,,,,,,T,,,230,,,,
63,KS 1731-260,263.554166666667,-26.0858333333333,,"K,X,Gr,R",lmxb,3.2,10,3.6,1.1,,,,,,,BT,,,1230,51182,,1230,
64,SLX 1732-304,263.948333333333,-30.4822222222222,,"Ha,B,Gr,H,R,Exo",lmxb,1.5,10,0.9,357.6,Ter 1,,,,,,GB,,,"999,1166,1366",797,,"10,988,1405",
65,KS 1732-273,264.008333333333,-27.4258333333333,,"K,G",lmxb,,5,2.59,0.16,,,,,,,TU,,,612792,182,,,
66,GRS 1734-292,264.354166666667,-29.18,,Gr,lmxb,,3.4,1.4,358.84,,,,,,,,,,1019,182,,,
67,SLX 1735-269,264.566666666667,-27.0044444444444,,"SL,X,R,AS,B",lmxb,,10,2.4,0.78,,,,,,,B,,,1166,,,,
68,4U 1735-444,264.742916666667,-44.45,0.2,"U,M,A,H,S,B,X",lmxb,0.15,160,-7,346.1,V926 Sco,4.65,,,,,BA,-0.8,17.5,1399,633,1319,"492,633,1348",
69,4U 1735-28,264.641666666667,-28.4833333333333,,"U,M",lmxb,,0.4,1.56,359.6,,,,,,,T,,,"230,1166",,,,
70,GRS 1736-297,264.8875,-29.7238888888889,,Gr,lmxb,,2,0.7,358.63,,,,,,,,,,725,182,,,
71,GRS 1737-31,264.983333333333,-30.9833333333333,,"Gr,C,X,AS,B",lmxb,,26,0.58,357.3,,,,,,,T,,,822,,,,
72,SLX 1737-282,265.2375,-28.31,,SL,lmxb,,3,1.2,0.01,,,,,,,,,,1166,,,,
73,GRS 1739-278,265.654166666667,-27.7830555555556,,"Gr,K,X,R",lmxb,4,860,1.17,0.66,,,,,(2-60keV),,T,,23.2,1258,831,,459831,
74,KS 1739-304,265.683333333333,-30.5141666666667,,K,lmxb,,9,-0.3,358.33,,,,,,,,,,611,,,,
75,GC X-4,265.945833333333,-29.4333333333333,,,lmxb,,30,0.1,359.36,,,,,,,T(?),,,262,,,,
76,E 1740.7-2942,265.977916666667,-29.7452777777778,,"E,X,C,R,AS,Gr",lmxb,,4,-0.1,359.12,,,,,,,,,,"1166,1168,1233","734,882,1  169",,,
77,GS 1741.2-2859,266.105833333333,-29.0125,,G,lmxb,,1.5,0.18,359.8,,,,,,,,,,909,,,,
78,KS 1741-293,266.204166666667,-29.3516666666667,,"K,B,X",lmxb,,5,-0.07,359.5,,,,,,,TB,,,612,182,,,
79,1H 1741-322,266.258333333333,-32.2272222222222,,H,lmxb,,2,-1.6,357.1,,,,,,,TU,,,"103,1168,1448",,,,
80,GRS 1741.9-2853,266.254166666667,-28.9016666666667,,"Gr,B",lmxb,,7,0.13,356,,,,,,,TB,,,1233,182,,,
81,GPS 1742-326,266.370833333333,-32.6941666666667,,Exo,lmxb,,2,-1.9,356.8,,,,,,,,,,"1168,1400",,,,
82,E 1742.2-2857,266.360833333333,-28.9833333333333,,E,lmxb,,0.1,0.01,359.9,,,,,(0.9-4.0keV),,,,,1403,1403,,,
83,3A 1742-294,266.404166666667,-29.45,,"A,S,AS,Gr,E,K",lmxb,,45,-0.26,359.56,,,,,,,B(T?),,,262,,,,
84,1A 1742-289,266.404166666667,-29.0186111111111,,A,lmxb,,9,0,359.9,,,,,,,TB(?),,,103,1403,,,
85,E 1742.5-2859,266.419583333333,-29.0030555555556,,"E,R",lmxb,,1,-0.05,359.95,,,,,,,,,,"1166,1233,1403",1403,,,
86,E 1742.5-2845,266.42875,-28.7813888888889,,E,lmxb,,0.15,0.06,0.14,,,,,(0.9-4.0 keV),,,,,1403,1403,,,
87,E 1742.7-2902,266.470416666667,-29.0561111111111,,E,lmxb,,0.2,-0.11,359.9,,,,,(0.9-4.0 keV),,,,,1403,1403,,,
88,E 1742.8-2853,266.5,-28.9136111111111,,E,lmxb,,0.2,-0.063,0.06,,,,,(0.9-4.0 keV),,,,,1403,1403,,,
89,E 1742.9-2852,266.520416666667,-28.8869444444444,,E,lmxb,,0.2,-0.06,0.09,,,,,(0.9-4.0 keV),,,,,1403,1403,,,
90,3A 1742-294,266.525833333333,-29.5183333333333,,"A,Gr",lmxb,,60,-0.39,359.56,,,,,,,B,,,"1166,1233,1399",634,,,
91,E 1742.9-2849,266.540416666667,-28.8511111111111,,E,lmxb,,0.2,-0.0626,0.13,,,,,(0.9-4.0 keV),,,,,1403,1403,,,
92,E 1743.1-2843,266.58,-28.7352777777778,,"E,AS,B",lmxb,45,0.5,-0.03,0.25,,,,,,,,,,"1166,1233,1403",1403,,1233,
93,E 1743.1-2852,266.58125,-28.8952777777778,,E,lmxb,,0.2,-0.11,0.11,,,,,(0.9-4.0 keV),,,,,1403,1403,,,
94,1A 1743-288,266.695833333333,-28.8947222222222,,"A,B,X",lmxb,,1,-0.25,0.21,,,,,,,TB,,,"262,1064,1166,1403",1403,,,
95,SLX 1744-299,266.857083333333,-29.9952777777778,,"SL,B",lmxb,7.5,6,-0.89,359.3,,,,,,,,,,1168,,,1168,
96,GRO J1744-28,266.137916666667,-28.7413888888889,,"C,K,AS,X,Gr",lmxb,,4700,0.31,0.04,,284.02,,0.467,(8-20 keV),,TBP,,,1120,19,367,,
97,SLX 1744-300,266.857916666667,-30.0419444444444,,"SL,B",lmxb,7.5,4,-0.9,359.26,,,,,,,B,,,1168,,,1168,
98,1M 1744-265,266.983333333333,-26.5636111111111,,"U,M,A,H,S,G,X",lmxb,3.7,400,0.8,2.3,,,,,,,BA,,,1399,1072,,527,
99,1A 1744-361,267.055833333333,-36.1313888888889,,A,lmxb,,25,-4.2,354.1,,,,,,,T,,,103,,,,
100,AX J1745.6-2901,266.4,-29.0261111111111,,"AS,B",lmxb,,0.4,-0.035,359.9,,8.4,,,(3-10 keV),,TB,,,788,,788,,
101,EXO 1745-248,267.233333333333,-24.8944444444444,,"Ha,Exo",lmxb,2.1,0.1,1.5,3.8,Ter 5,,,,,,TGB,,,"525,1400",,,1405,
102,4U 1745-203,267.222916666667,-20.3672222222222,,"U,M",lmxb,1.1,0.1,3.8,7.7,NGC 6440,,,,,,GT,,,345383,383447811,,"954,1405",
103,SLX 1746-331,267.460833333333,-33.1986111111111,,"SL,R",lmxb,,27,-3.1,356.9,,,,,,,U,,,1168,931,,,
104,E 1746.7-3224,267.514583333333,-32.4286111111111,,E,lmxb,,0.1,-2.6,357.5,,,,,,,,,,"526,1168",,,,
105,4U 1746-370,267.552916666667,-37.0522222222222,,"U,M,A,H,S,X,B",lmxb,0.5,32,-5,353.5,NGC 6441,5.7,,,,,GBA,,,"999,1366",475,1117,1255,
106,EXO 1747-214,267.607083333333,-21.4225,,Exo,lmxb,,70,22.73,19.8,,,,,,,TB,,,"996,1400",,,,
107,GRS 1747-312,267.689583333333,-31.2922222222222,,"R,Gr,B,X",lmxb,1.5,1.5,-2.2,358.6,Ter 6,12.36,,,,,G,,,"1019,1052",182,620,1405,
108,XTE J1748-288,267.021083333333,-28.4738333333333,,"X,B,I",lmxb,,640,-0.21,0.7,,,,,,,T,,,1220,,,,
109,SAX J1748.9-2021,267.2225,-20.3619444444444,,"B,X,R(?)",lmxb,1,30,3.8,7.73,*V2(?),,,,,,TGB,,,616,1370,,986,42
110,1RXS J175229.0-282951,268.066666666667,-28.5061111111111,,"SL,A",lmxb,,60,-1,1.1,,,,,,,T,,,1064,,,,
111,SAX J1750.8-2900,267.6,-29.0383333333333,,"B,X",lmxb,,130,-0.94,0.45,,,,,,,TB,,,948,,,,
112,SAX J1752.3-3138,268.1,-31.6283333333333,,B,lmxb,,740,-2.6,358.4,,,,,(2-26 keV),,B,,,60,,,,
113,4U 1755-338,269.666666666667,-33.8075,0.7,"U,M,A,H,S,R,G",lmxb,0.5,100,-4.9,357.2,V4134 Sgr,4.46,,,,,DU,,18.5,1399,845,"845,1417",845954,
114,XTE J1755-324,268.869166666667,-32.4775,,"X,Gr",lmxb,,180,-3.6,358,,,,,(2-12 keV),,T,,,1078,,,,
115,1M 1758-250,270.284166666667,-25.0791666666667,,"U,M,A,H,S",lmxb,7.5,1250,-1,5.1,,,,,,,Z,,,1399,"952,1072",,527,68
116,GRS 1758-258,270.302916666667,-25.7405555555556,,"Gr,X,C,R,AS",lmxb,3,20,-1.4,4.5,,,,,,,U,,,1238,"882,1165",,1165,
117,1M 1758-205,270.384583333333,-20.5288888888889,,"U,M,A,H,S",lmxb,3.7,700,1.2,9.1,,,,,,,A,,,1399,"447,952,1072",,527,
118,2S 1803-245,271.709166666667,-24.5875,,S,lmxb,,2,-1.9,6.1,,,,,,,T,,,230,634,,,
119,XTE J1806-246,271.7125,-24.585,,X,lmxb,,440,-1.9,6.14,,,,,(2-12 keV),,TB(?)A,,,826,,,,
120,SAX J1808.4-3658,272.11475,-36.9789722222222,,"B,X",lmxb,,110,-8.14,355.4,,2.014167,,0.00249,,,TPB,,16.6,420,420,"162,1425","420,1097",
121,SAX J1810.8-2609,272.685416666667,-26.1502777777778,,"B,R",lmxb,,16,-3.4,5.2,,,,,,,TB,,,1307,461,,461,
